state_id,year,unemployment_rate
19,2018,3.5
19,2017,3.2
19,2016,3.6
19,2015,4.0
19,2014,5.1
19,2013,6.2
19,2012,7.2
19,2011,7.7
19,2010,8.1
19,2009,8.2
19,2008,7.0
19,2007,4.8
19,2006,4.5
19,2005,4.6
19,2004,4.8
19,2003,4.9
19,2002,4.7
19,2001,4.1
19,2000,3.3
