   series id    ,year,period, value 
 JTU00000000LDR ,2009.0,  M02   ,1.6
 JTU00000000LDR ,2009.0,  M01   ,2.5
,,,
 JTU00000000LDR ,2008.0,  M12   ,2.1
 JTU00000000LDR ,2008.0,  M11   ,1.7
 JTU00000000LDR ,2008.0,  M10   ,1.7
 JTU00000000LDR ,2008.0,  M09   ,1.6
 JTU00000000LDR ,2008.0,  M08   ,1.7
 JTU00000000LDR ,2008.0,  M07   ,1.5
 JTU00000000LDR ,2008.0,  M06   ,1.5
 JTU00000000LDR ,2008.0,  M05   ,1.2
 JTU00000000LDR ,2008.0,  M04   ,1.3
 JTU00000000LDR ,2008.0,  M03   ,1.1
 JTU00000000LDR ,2008.0,  M02   ,1.2
 JTU00000000LDR ,2008.0,  M01   ,1.8
 JTU00000000LDR ,2007.0,  M12   ,1.6
 JTU00000000LDR ,2007.0,  M11   ,1.4
 JTU00000000LDR ,2007.0,  M10   ,1.6
 JTU00000000LDR ,2007.0,  M09   ,1.6
 JTU00000000LDR ,2007.0,  M08   ,1.6
 JTU00000000LDR ,2007.0,  M07   ,1.4
 JTU00000000LDR ,2007.0,  M06   ,1.3
 JTU00000000LDR ,2007.0,  M05   ,1.2
 JTU00000000LDR ,2007.0,  M04   ,1.4
 JTU00000000LDR ,2007.0,  M03   ,1.1
 JTU00000000LDR ,2007.0,  M02   ,1.1
 JTU00000000LDR ,2007.0,  M01   ,1.8
 JTU00000000LDR ,2006.0,  M12   ,1.5
 JTU00000000LDR ,2006.0,  M11   ,1.4
 JTU00000000LDR ,2006.0,  M10   ,1.5
 JTU00000000LDR ,2006.0,  M09   ,1.4
 JTU00000000LDR ,2006.0,  M08   ,1.4
 JTU00000000LDR ,2006.0,  M07   ,1.4
 JTU00000000LDR ,2006.0,  M06   ,1.3
 JTU00000000LDR ,2006.0,  M05   ,1.3
 JTU00000000LDR ,2006.0,  M04   ,1.3
 JTU00000000LDR ,2006.0,  M03   ,1.1
 JTU00000000LDR ,2006.0,  M02   ,1.1
 JTU00000000LDR ,2006.0,  M01   ,1.7
 JTU00000000LDR ,2005.0,  M12   ,1.6
 JTU00000000LDR ,2005.0,  M11   ,1.3
 JTU00000000LDR ,2005.0,  M10   ,1.5
 JTU00000000LDR ,2005.0,  M09   ,1.6
 JTU00000000LDR ,2005.0,  M08   ,1.5
 JTU00000000LDR ,2005.0,  M07   ,1.4
 JTU00000000LDR ,2005.0,  M06   ,1.4
 JTU00000000LDR ,2005.0,  M05   ,1.3
 JTU00000000LDR ,2005.0,  M04   ,1.4
 JTU00000000LDR ,2005.0,  M03   ,1.3
 JTU00000000LDR ,2005.0,  M02   ,1.3
 JTU00000000LDR ,2005.0,  M01   ,2.0
 JTU00000000LDR ,2004.0,  M12   ,1.7
 JTU00000000LDR ,2004.0,  M11   ,1.5
 JTU00000000LDR ,2004.0,  M10   ,1.6
 JTU00000000LDR ,2004.0,  M09   ,1.6
 JTU00000000LDR ,2004.0,  M08   ,1.6
 JTU00000000LDR ,2004.0,  M07   ,1.4
 JTU00000000LDR ,2004.0,  M06   ,1.3
 JTU00000000LDR ,2004.0,  M05   ,1.2
 JTU00000000LDR ,2004.0,  M04   ,1.5
 JTU00000000LDR ,2004.0,  M03   ,1.2
 JTU00000000LDR ,2004.0,  M02   ,1.3
 JTU00000000LDR ,2004.0,  M01   ,2.0
 JTU00000000LDR ,2003.0,  M12   ,1.7
 JTU00000000LDR ,2003.0,  M11   ,1.5
 JTU00000000LDR ,2003.0,  M10   ,1.7
 JTU00000000LDR ,2003.0,  M09   ,1.6
 JTU00000000LDR ,2003.0,  M08   ,1.8
 JTU00000000LDR ,2003.0,  M07   ,1.6
 JTU00000000LDR ,2003.0,  M06   ,1.5
 JTU00000000LDR ,2003.0,  M05   ,1.3
 JTU00000000LDR ,2003.0,  M04   ,1.5
 JTU00000000LDR ,2003.0,  M03   ,1.1
 JTU00000000LDR ,2003.0,  M02   ,1.3
 JTU00000000LDR ,2003.0,  M01   ,2.1
 JTU00000000LDR ,2002.0,  M12   ,1.7
 JTU00000000LDR ,2002.0,  M11   ,1.5
 JTU00000000LDR ,2002.0,  M10   ,1.6
 JTU00000000LDR ,2002.0,  M09   ,1.6
 JTU00000000LDR ,2002.0,  M08   ,1.6
 JTU00000000LDR ,2002.0,  M07   ,1.6
 JTU00000000LDR ,2002.0,  M06   ,1.4
 JTU00000000LDR ,2002.0,  M05   ,1.3
 JTU00000000LDR ,2002.0,  M04   ,1.5
 JTU00000000LDR ,2002.0,  M03   ,1.1
 JTU00000000LDR ,2002.0,  M02   ,1.3
 JTU00000000LDR ,2002.0,  M01   ,2.0
 JTU00000000LDR ,2001.0,  M12   ,1.6
 JTU00000000LDR ,2001.0,  M11   ,1.7
 JTU00000000LDR ,2001.0,  M10   ,2.0
 JTU00000000LDR ,2001.0,  M09   ,1.7
 JTU00000000LDR ,2001.0,  M08   ,1.6
 JTU00000000LDR ,2001.0,  M07   ,1.6
 JTU00000000LDR ,2001.0,  M06   ,1.4
 JTU00000000LDR ,2001.0,  M05   ,1.3
 JTU00000000LDR ,2001.0,  M04   ,1.4
 JTU00000000LDR ,2001.0,  M03   ,1.2
 JTU00000000LDR ,2001.0,  M02   ,1.1
 JTU00000000LDR ,2001.0,  M01   ,2.3
 JTU00000000LDR ,2000.0,  M12   ,1.7
,,,
