year,US earnings index 
2018,100.0
2017,102.82542885973763
2016,105.65085771947528
2015,109.4853683148335
2014,110.99899091826437
2013,112.91624621594349
2012,118.66801210898082
2011,120.58526740665994
2010,123.41069626639758
2009,125.5297679112008
2008,126.13521695257315
2007,128.2542885973764
2006,129.1624621594349
2005,130.47426841574168
2004,132.5933400605449
2003,135.62058526740665
2002,141.27144298688194
2001,147.62865792129162
2000,151.26135216952574
