state_id,year,earnings,pct_change
12,2018,611396,3.7
12,2017,589307,3.0
12,2016,572321,3.8
12,2015,551238,3.3
12,2014,533878,2.9
12,2013,518892,3.0
12,2012,503774,1.4
12,2011,496878,0.8
12,2010,492915,-1.5
12,2009,500194,-7.2
12,2008,539153,-1.8
12,2007,548966,3.0
12,2006,532929,5.5
12,2005,505098,4.6
12,2004,482745,3.0
12,2003,468484,0.6
12,2002,465801,-0.2
